adrCleost,adresse,codePostal,ville,Statut,anneePubli,Domaine,Titre Article,Titre Journal,doi
216857731P1,"Univ Clermont Auvergne, INRA, MEDiS UMR454, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2018,SMV,Desiccation: An environmental and food industry stress that bacteria commonly face,FOOD MICROB,10.1016/j.fm.2017.07.017
216857731P2,"INRA, Ctr Auvergne Rhoone Alpes, Microbiol Environm Digestif & Sante UMR454, Site Theix, F-63122 St Genes Champanelle, France",63122,SAINT-GENES-CHAMPANELLE,NC,2018,SMV,Desiccation: An environmental and food industry stress that bacteria commonly face,FOOD MICROB,10.1016/j.fm.2017.07.017
216860861P1,"Univ Lyon 1, Univ Lyon, Team Vasc Biol & Red Blood Cell, Ctr Res & Innovat Sports CRIS EA647, Lyon, France",,LYON,NC,2018,SMV,Does physical activity increase or decrease the risk of sickle cell disease complications?,BR J SP MED,10.1136/bjsports-2015-095317
216861514P8,"Ctr Hosp Univ Clermont Ferrand, Dept Neuroradiol, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,Second-Generation Hydrogel Coils for the Endovascular Treatment of Intracranial Aneurysms: A Randomized Controlled Trial,STROKE,10.1161/STROKEAHA.117.018707
216863626P3,"Univ Clermont Auvergne, Inst Pascal, 24 Ave Landais, F-63177 Aubiere, France",63177,AUBIERE,NC,2018,SMV,High frequency transformer model derived from limited information about the transformer geometry,INT J ELEC,10.1016/j.ijepes.2017.07.017
216924910P3,"CHU Clermont Ferrand, Serv Odontol, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,"Which factors most influence referral for restorative dental treatment under sedation and general anaesthesia in children with complex disabilities: caries severity, child functioning, or dental service organisation?",INT J PA DE,10.1111/ipd.12305
216924910P4,"Univ Clermont Auvergne, CROC Ctr Rech Odontol Clin, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,"Which factors most influence referral for restorative dental treatment under sedation and general anaesthesia in children with complex disabilities: caries severity, child functioning, or dental service organisation?",INT J PA DE,10.1111/ipd.12305
216927168P153,"Univ Clermont Auvergne, CNRS, IN2P3, LPC, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,"The ALICE Transition Radiation Detector: Construction, operation, and performance",NUCL INST A,10.1016/j.nima.2017.09.028
216928410P1,"Univ Clermont Auvergne, CNRS, SIGMA Clermont, Inst Chim ICCF, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2018,SMV,Thermodynamic Modeling and Experimental Study of CO2 Dissolution in New Absorbents for Post-Combustion CO2 Capture Processes,ACS SUST CH,10.1021/acssuschemeng.7b03280
216931369P3,"Clermont Univ, Inst Pascal, IFMA, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,Implementation of analytical boundary simulation method for cutting force prediction model in five-axis milling,MACH SCI T,10.1080/10910344.2017.1337130
216932967P21,"CHU Estaing, Serv Hematol Clin, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,'Double-hit' chronic lymphocytic leukemia: An aggressive subgroup with 17p deletion and 8q24 gain,AM J HEMAT,10.1002/ajh.24990
216932967P8,"CHU Estaing, Lab Cytogenet, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,'Double-hit' chronic lymphocytic leukemia: An aggressive subgroup with 17p deletion and 8q24 gain,AM J HEMAT,10.1002/ajh.24990
216933790P1,"Univ Clermont Auvergne, INRA, MEDIS, Clermont Ferrand, France",,CLERMONT-FERRAND,C,2018,SMV,Contribution of nitric oxide synthase from coagulase-negative staphylococci to the development of red myoglobin derivatives,INT J F MIC,10.1016/j.ijfoodmicro.2017.11.005
216934608P1,"Univ Clermont Auvergne, CNRS UMR6293, GReD INSERM U1103, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2018,SMV,Distinct subsets of Eve-positive pericardial cells stabilise cardiac outflow and contribute to Hox gene-triggered heart morphogenesis in Drosophila,DEVELOPMENT,10.1242/dev.158717
216934710P5,"CHU Clermont Ferrand, Serv Pharmacol Med, Hop G Montpied, Addictovigilance Auvergne, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2018,SMV - SHS,Cannabinoid hyperemesis syndrome: Review of the literature and of cases reported to the French addictovigilance network,DRUG AL DEP,10.1016/j.drugalcdep.2017.09.038
216936236P1,"Clermont Ferrand Univ Hosp Estaing, Dept Gynecol Surg, Pl Lucie & Raymond Aubrac, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,Augmented reality in a tumor resection model,SURG ENDOSC,10.1007/s00464-017-5791-7
216936236P2,"Univ Auvergne, CNRS, ALCoV UMR6284, ISIT,Fac Med, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,Augmented reality in a tumor resection model,SURG ENDOSC,10.1007/s00464-017-5791-7
216936236P3,"CICS, Fac Med, 28 Pl Henri Dunant, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,Augmented reality in a tumor resection model,SURG ENDOSC,10.1007/s00464-017-5791-7
216936236P4,"Univ Hosp Clermont Ferrand, Biostat Unit DRCI, 58 Rue Montalembert, F-63003 Clermont Ferrand, France",63003,CLERMONT-FERRAND,NC,2018,SMV,Augmented reality in a tumor resection model,SURG ENDOSC,10.1007/s00464-017-5791-7
216936946P4,"Univ Blaise Pascal, CNRS, Lab Magmas & Volcans, IRD,OPGC, Campus Univ Cezeaux,6 Ave Blaise Pascal, F-63178 Aubiere, France",63178,AUBIERE,NC,2018,SMV,An internally consistent pressure calibration of geobarometers applicable to the Earth's upper mantle using in situ XRD,GEOCH COS A,10.1016/j.gca.2017.10.031
216937322P1,"Univ Clermont Auvergne, INRA, UNH, Unite Nutr Humaine,CRNH Auvergne, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,Fructose Feeding during the Postabsorptive State Alters Body Composition and Spares Nitrogen in Protein-Energy-Restricted Old Rats,J NUTR,10.1093/jn/nxx028
216937995P4,"Univ Lyon, UJM St Etienne, UCA, CNRS,IRD,LMV,UMR 6524, F-42023 St Etienne, France",42023,SAINT-ETIENNE,NC,2018,SMV,Nanoscale distribution of Pb in monazite revealed by atom probe microscopy,CHEM GEOL,10.1016/j.chemgeo.2018.01.020
216937995P5,"Univ Clermont Auvergne, Lab Magmas & Volcans, CNRS, IRD,OPGC, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2018,SMV,Nanoscale distribution of Pb in monazite revealed by atom probe microscopy,CHEM GEOL,10.1016/j.chemgeo.2018.01.020
216939956P3,"Univ Clermont Auvergne, CNRS, PHOTON N2, Inst Pascal, 4 Ave Blaise Pascal, F-63178 Aubiere, France",63178,AUBIERE,NC,2018,SMV,Ultracentrifugation for ultrafine nanodiamond fractionation,SUPERLATT M,10.1016/j.spmi.2017.10.039
216994899P4,"Univ Clermont Auvergne, Inserm, Neurodol Pharmacol Fondamentale & Clin Douleur U1, Clermont Ferrand, France",,CLERMONT-FERRAND,C,2018,SMV,Mapping protein interactions of sodium channel Na(V)1.7 using epitope-tagged gene-targeted mice,EMBO J,10.15252/embj.201796692
216996323P5,"CHU Clermont Ferrand, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2018,SMV,PROTOCOL BIOPSIES IN PATIENTS WITH SUBCLINICAL DE NOVO DSA IN KIDNEY TRANSPLANTATION,TRANSPLAN I,
